"id","parent_id","name","a_canceled","a_count","a_issued_l","a_issued_t","a_stolen","b_canceled","b_count","b_early","b_fixed","b_inside","b_invalid","b_outside","b_portable","b_stolen","b_valid","b_wtf","v_abs","v_count","vote_count_1","vote_count_2","vote_count_3","vote_count_4","vote_count_5","vote_count_6","vote_count_7","site_x","site_y"
77000100000000,77000000000000,"Восточная избирательная группа",2838,16332,13494,1669,0,162782,598643,0,419835,423263,8248,12600,12580,0,424167,2,14418,677927,47149,37767,5134,77031,33241,220883,2962,,
77000200000000,77000000000000,"Донская избирательная группа",3551,17387,13836,2003,0,158532,651937,0,477496,480194,8373,13211,13209,0,482332,0,15958,753439,49945,42000,5991,82958,34873,262573,3992,,
77000300000000,77000000000000,"Кунцевская избирательная группа",4297,15990,11693,741,0,207373,657016,0,435335,438664,7472,10979,10968,0,438831,0,10248,755347,48552,34843,5806,85911,35675,224491,3553,,
77000400000000,77000000000000,"Люблинская избирательная группа",2818,17368,14550,1170,0,188157,644153,0,443555,446020,7689,9964,9957,12,445823,0,10404,748871,48856,46525,6442,82378,26599,231074,3949,,
77000500000000,77000000000000,"Медведковская избирательная группа",2724,16597,13872,1067,1,170677,538600,0,355038,356069,6635,11854,11849,0,360252,0,10413,651929,54871,45914,6295,80682,39483,129605,3402,,
77000600000000,77000000000000,"Тушинская избирательная группа",3710,17523,13813,1437,0,213767,637190,0,406914,409714,7780,13708,13681,1,412815,0,12737,749874,66741,52256,6898,96607,50563,135540,4210,,
77000700000000,77000000000000,"Царицынская избирательная группа",3571,17030,13459,3723,0,139076,612732,0,458852,461799,7440,11857,11851,0,463263,0,9917,718913,49593,43852,5775,82039,23991,254284,3729,,
77000800000000,77000000000000,"Центральная избирательная группа",4788,19753,14957,757,8,148527,583846,0,415357,419255,6938,16064,16052,0,424471,0,18032,696501,53239,34547,4814,90139,42309,196102,3321,,
77000900000000,77000000000000,"Черемушкинская избирательная группа",3252,15818,12566,748,0,213521,641830,0,414562,416415,7549,11894,11890,0,418903,0,10374,720286,57676,39043,6052,85513,46390,180717,3512,,
77001000000000,77000000000000,"Шереметьевская избирательная группа",2730,15746,13013,636,3,166572,635320,0,449312,453995,8387,14753,14740,0,455665,0,10527,707886,57836,39267,5658,88775,43389,217482,3258,,
